year,water_lev,strm_count,precip,soi_jan.jun,soi_sf,nao_jan.jun,nao.sf
2013,174.99,8,38.1,0.95,0.7,-0.63,0.523333333
2014,175.22,5,29.718,0.583333333,-0.933333333,0.308333333,0.651666667
2015,175.43,8,27.7622,-0.733333333,-2.333333333,1.306666667,0.625
2016,175.49,12,24.3332,-1.183333333,0.35,0.193333333,0.258333333
2017,175.65,6,28.1686,0.183333333,0.8,0.131666667,0.278333333
2018,175.69,3,24.6888,0.766666667,-0.283333333,0.241666667,-0.046666667
2019,175.97,10,20.4216,-0.683333333,-0.766666667,-0.015,0.603333333
2020,176,5,21.7932,0.066666667,2.016666667,1.015,-0.338333333
2021,175.66,10,31.8516,1.4,1.37,-0.503333333,0.265
2022,175.0441938,4,24.94,NA,NA,NA,NA
